t (ps)	H (kJ/mol)	T (K)	P (atm)
0.00000	2021.52890	963.55449	0.00000
0.10000	2022.47511	684.32291	0.00000
0.20000	2022.60105	594.59020	0.00000
0.30000	2022.60050	555.85964	0.00000
0.40000	2022.60128	540.14583	0.00000
0.50000	2022.60435	530.97095	0.00000
0.60000	2022.60166	526.49653	0.00000
0.70000	2022.60409	523.03917	0.00000
0.80000	2022.60409	521.22278	0.00000
0.90000	2022.60602	519.10101	0.00000
1.00000	2022.60599	517.80881	0.00000
1.10000	2022.60489	515.24842	0.00000
1.20000	2022.60174	515.87069	0.00000
1.30000	2022.60305	515.55069	0.00000
1.40000	2022.60677	513.73663	0.00000
1.50000	2022.60330	512.67645	0.00000
1.60000	2022.60666	510.69446	0.00000
1.70000	2022.61488	506.85121	0.20687
1.80000	2022.66245	511.18087	0.00000
1.90000	2022.66586	509.86110	0.04003
2.00000	2022.66481	510.57797	0.00000
2.10000	2022.66490	506.97657	0.20140
2.20000	2022.71374	510.15539	0.00000
2.30000	2022.70567	505.91998	0.17524
2.40000	2022.70646	507.74787	0.02501
2.50000	2022.70090	509.33819	0.00000
2.60000	2022.72808	506.04996	0.14677
2.70000	2022.73886	502.62516	0.39667
2.80000	2022.72534	501.57190	0.39649
2.90000	2022.71407	507.66210	0.09291
3.00000	2022.64926	505.17634	0.19650
3.10000	2022.59696	506.99865	0.00000
3.20000	2022.62819	506.52156	0.00000
3.30000	2022.60569	504.86931	0.19769
3.40000	2022.60790	506.42128	0.05843
3.50000	2022.62920	504.75123	0.18730
3.60000	2022.67340	504.23120	0.08501
3.70000	2022.70041	498.80980	0.30089
3.80000	2022.60428	502.60772	0.20508
3.90000	2022.63377	498.99997	0.28771
4.00000	2022.63530	500.40608	0.14264
4.10000	2022.63800	500.82510	0.06795
4.20000	2022.63939	501.22749	0.00000
4.30000	2022.63487	501.73040	0.05216
4.40000	2022.62094	499.67647	0.10683
4.50000	2022.63373	498.85188	0.04734
4.60000	2022.64013	499.91919	0.00000
4.70000	2022.61799	496.78636	0.31859
4.80000	2022.59815	498.52778	0.13521
4.90000	2022.63528	498.07812	0.09108
5.00000	2022.65755	497.30039	0.06199
5.10000	2022.65183	495.75317	0.00000
5.20000	2022.56617	494.78857	0.13651
5.30000	2022.56525	493.95616	0.11653
5.40000	2022.56329	493.96050	0.00000
5.50000	2022.47833	493.13071	0.19424
5.60000	2022.49017	494.04404	0.09665
5.70000	2022.49277	491.80414	0.17383
5.80000	2022.47756	493.07912	0.12734
5.90000	2022.48110	493.07671	0.01149
6.00000	2022.46404	491.52581	0.10844
6.10000	2022.46508	493.05695	0.00000
6.20000	2022.44580	490.17456	0.10922
6.30000	2022.42347	492.52745	0.06954
6.40000	2022.42702	492.69149	0.08418
6.50000	2022.41154	492.28424	0.00000
6.60000	2022.37271	491.60977	0.04813
6.70000	2022.40255	490.79817	0.01160
6.80000	2022.35597	490.47344	0.00515
6.90000	2022.37587	487.55119	0.29673
7.00000	2022.38329	491.26766	0.00000
7.10000	2022.39175	489.98189	0.00076
7.20000	2022.48720	487.07049	0.03993
7.30000	2022.40339	490.04288	0.00000
7.40000	2022.40810	489.18366	0.07150
7.50000	2022.41009	488.19183	0.14716
7.60000	2022.39062	488.55504	0.01604
7.70000	2022.40451	488.02164	0.00000
7.80000	2022.40493	485.80598	0.13837
7.90000	2022.34938	488.00244	0.02816
8.00000	2022.32430	488.62365	0.00000
8.10000	2022.36490	483.47593	0.22250
8.20000	2022.36735	483.72137	0.19012
8.30000	2022.37790	482.97864	0.19066
8.40000	2022.38896	483.91317	0.06033
8.50000	2022.42246	485.09364	0.10313
8.60000	2022.41653	486.47771	0.03617
8.70000	2022.41806	485.89691	0.01306
8.80000	2022.40958	483.86554	0.04845
8.90000	2022.42917	480.87773	0.25453
9.00000	2022.40490	482.64022	0.09709
9.10000	2022.46461	483.47412	0.05067
9.20000	2022.46132	484.40463	0.00000
9.30000	2022.41874	484.10739	0.09556
9.40000	2022.43733	478.71324	0.17788
9.50000	2022.41658	481.64381	0.26294
9.60000	2022.40236	481.01447	0.20358
9.70000	2022.44536	481.19135	0.16923
9.80000	2022.47593	483.86235	0.03514
9.90000	2022.43846	483.36191	0.11585
10.00000	2022.41721	481.61592	0.13710
10.10000	2022.38995	481.96460	0.05277
